polish,english
Relax,Put sbs feet up
to think very carefully about something,Give it some thought
To learn bydoing the same,To learn by mirroring
That is probable,That sounds legit
It makes sense,It holds water
To be exposed to,Up against
Change the rules,Move the goalposts
Providing equal rules / rights,A level playing field
Waste time and energy,Flog a dead horse
No purpose,In vain
Win by small difference,A narrow win
The game hasn't ended,The ball is still in play
Gonić,To chase
Chase sb,<div>To go after sb</div>
to be master of sth,To have sth at your fingertips
Near by,To have sth at hand
Know all details of sth,Know ins and outs of sth
Solidarize / agree with,Sympathize with
Eria,Area
Bergeining,Bargaining
Pys of,Piss off
Pis,Peace
Ynsentiw,Incentive
A person traveling with you,Co-passenger
To do sth that you did not have time to do earlier,Catch up with sth
Think of some great idea,Come up with an idea
Different from other one,Separate
Strona umowy,Party of a contract
Situation when one part doesn't fulfill a contract,Breach / Violation of a conctract
Not fulfilling a contract,Non-performance of a contract
Show a way of doing,Set an example
Motivate,Rally the troops
Reminding of,Recollecting
[klajm],Climb
[plamer],Plumber
[mys],Miss
[rikord],Record (verb)&nbsp;
[rekord],Record (noun)
[wyl],Will
[wil],Wheel
Przenocować kogoś ,Put somebody up
Every two weeks,Every fortnight
Zaocznie ,Extra-mural
Żabka (styl pływania) ,Breaststroke
Niosący pochodnie,torchbearer
Nabywać ,Acquire
Zepsuć /zmarnować ,Spoil (plans) 
Near by,Within a walking distance
Wskoczyć na coś ,Jump on
W samochodzie ,In a car
W pociągu / autobusie / tramwaju,On a train / bus / tram
Przypinać,Clipping
Przypominać sobie,Recall
Przypomnieć komuś coś ,Remind of
Ilość pracy do wykonania ,Workload
Phenomenon (singular) ,Phenomena (plural) 
[fynomenon] ,Phenomenon 
Śmiać się z czegoś ,Laugh at
Rozczarowany czymś ,Disappointed with
Być zgodnym z czymś ,To be compliant with
Podporządkować się ,Subordinate
Istotny,Vital
Istotne ,Core
Bardzo dobrze myśleć o kimś ,Think highly of sb
Dodawać energii,Empower
[et] ,Ate
[mej] ,May
[kołmponent] ,Component 
Obróbka zdjęć ,Photo editing 
Grill ,Barbecue 
,On television<br>On the Internet 
Podświadomość,Subconscious
Coś cię przeraża ,Sth gives you a fright
Polegać na kimś ,Depend on
Łączyć z,Binded to
Uprzejmość ,Courtesy
Dwór ,Court
Keep someone informed,Keep someone posted
Stracić kontakt ,Out of touch
Przekaz ustny,Word of mouth
Marketing szeptany,Word of mouth marketing
Skazany na niepowodzenie ,Doomed to fail
Jakby to było wczoraj ,As it was yesterday
W punkt,To the point
Rozmówca ,Interlocutor
[spysyz] ,Species
[dyfrent] ,Different
[ilaborejt on] ,Elaborate on
Kolosalny,Gargantuan
Być wyczerpanym,Run down
Nietknięty,Intact
Co o tym sądzisz ,What is your stand on
Wymrzeć,Die out
Wprowadzać ,Implement within
Przyłączać,Incorporate
[looo] ,Law
[obsolit] ,Obsolete
Połknąć bakcyla,To be bitten by a bug
Darmowy wstęp ,Free admission
W wielu przypadkach ,In very many cases
Lowest prices,Rock-bottom prices
Polewa,Icing
Wisienka na torcie,Icing on the cake
[wecztabl'] ,Vegetables
[oulternatiw] ,Alternative
[prodakt] ,Product
On the run,In a hurry
Wykorzystać w pełni ,Take most of time
Sprowadzać do czegoś ,Boil down to sth
Przeciwstawić się ,Resist
Być na minusie,Be in the red
Być na plusie ,Be in the black
Groszowa wypłata,Chicken feed
Kosztować grosze,Cost peanuts
Spieniężyć posiadane dobra,Cash in your chips
Prowizoryczne,Back-of-the-envelope 
Uniknąć strat,Cut one's losses
Payment in advance,Down payment
Wykorzystać czas w pełni ,Use time best
Kors,Course
Altymet,Ultimate
spróbować czegoś ,give it a try
Marża zysku,Profit margin
In contras to,In opposition to
Informować na bieżąco ,Keep sb posted
Na korytarzu,At the corridor
Mieć coś przeciw albo się zgodzić ,Contradict or agree
On Instagram ,On Facebook 
[czors] ,Chores
[kalkulejted] obliczony / wyrachowany,Calculated
Zgłębmy temat,Let's dig in
Kolega z byłej pracy,Former colleague
Wiodąca marka,Leading brand
Spróbować ,Try on
Postawić wszystko na jedną kartę ,To put all your eggs in one basket
Kupić niepotrzebną rzecz,To buy a lemon
Zwariowany,Wacky
That is what I was saying,This is what I was driving at
[primjum] ,Premium 
Moal,Mall
[perfjums] ,Perfumes
[sajkajatrist] ,Psychiatrist
Wysiłek umysłowy ,Mental effort
W ekstremalnych warunkach ,Under extreme conditions
Zdrzemnąć się dla poprawy urody ,Take some beauty sleep
Być zagrożonym,Being at the risk
Imieniny ,Name's day party
By ourselves,On our own
Zbliżać się do czegoś ,Approach towards
Ktoś kto robi|a nie gada,Doer not a talker
Wysokooceniany,Rated very high
Odrzucić,Turn down
NA końcu ,At the end
W końcu ,In the end
Szkodliwy dla czegoś ,Detrimental to
Zajęty czymś ,Occuppied with
Zajęty przez,Occuppied by
Apart from,Except for
Omijać|przechytrzyć ,Circumvent
Hojny,Lavish
Gościnny,Hospitable
Europa poza UK,Continental Europe
Zadłużyć się ,Go into debt
Żyć za określoną sumę ,Live on sth
[dżenuin] ,Genuine
Poza tym ,Besides sth
Zgodnie z czymś ,Compliant with
Spór sądowy,Litigation
[foroly] gruntownie ,Thoroughly
Na wolności ,In the wild
Pasmo górskie ,Mountain range
W niespotykanym tempie,At an unprecedented pace
Turystyczny ,Tourist
Przedstawiając sprawę w jeszcze gorszym świetle ,To cast even a worse light on it
Poprawiać wydajność ,Streamline
Zaprzeczający,Contradictor
Dobić targu,Close a call
Nielogiczny,Illogical
Wycieraczka / popychadło,Doormat
Słono kosztować ,Cost an arm and a leg
Tęsknić za czymś ,Pine for / long for
Imbir ,Ginger
W odległym czasie ,At a distant time
Korygować ,Revise
Demaskować / obalać,Debunk a myth
Podążać za kimś ,Follow in sb's steps
Zmienić nastawienie ,A change of heart
Zmienić coś niszcząc ,To chop and change
Dla odmiany,For a change
Rozprostować nogi,Blow away the cowbebs
Wrócić do podstaw ,Go back to square one
Wpaść na coś,Stumble upon
Dostawać pieniądze za robienie czegoś,Paid for doing something 
Kawalerski,Stag party
Panieńskie,Hen party
Chwila prawdy,Moment of truth
Wpaść do kogoś z wizytą ,Drop by
Samotny,Unaccompanied
Niezależnie od ,Regardless of
Wzór / sztampa,Boilerplate
Ograniczać coś ,Cut down on something
Za dużo roboty ,Too much on sb's plate
Komuś piętrzą się obowiazki,Sb's duties pile up
Wybredny ,Choosy
Elementarny,rudimentary
Porozumienie,Settlement
Zabić dwie pieczenie na jednym ogniu ,Hit two birds with one stone
